"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"RQC00666390","01"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","01","99","99","    4.60"," ","S","15","    12.8"," ","S","15","     9.3"," ","S","15","     5.3"," ","S","15","     3.1"," ","S","15","     1.0"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.65"," ","S","15","    4.00"," ","S","15","    6.29"," ","S","15","    2.39"," ","S","15","    3.04"," ","S","15","    5.32"," ","S","15","    6.99"," ","S","15","    2.92"," ","S","15","    5.51"," ","S","15"
"RQC00666390","02"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","02","99","99","    3.89"," ","S","15","    10.4"," ","S","15","     8.4"," ","S","15","     4.9"," ","S","15","     2.4"," ","S","15","     0.9"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    1.84"," ","S","15","    3.47"," ","S","15","    4.88"," ","S","15","    1.53"," ","S","15","    2.51"," ","S","15","    4.37"," ","S","15","    4.95"," ","S","15","    2.31"," ","S","15","    4.77"," ","S","15"
"RQC00666390","03"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","03","99","99","    6.14"," ","S","15","    11.3"," ","S","15","     9.4"," ","S","15","     6.5"," ","S","15","     3.9"," ","S","15","     1.7"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    2.81"," ","S","15","    5.22"," ","S","15","    9.20"," ","S","15","    2.43"," ","S","15","    3.73"," ","S","15","    6.65"," ","S","15","   10.39"," ","S","15","    3.27"," ","S","15","    7.33"," ","S","15"
"RQC00666390","04"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","04","99","99","    6.82"," ","S","14","    10.5"," ","S","15","     8.5"," ","S","15","     6.1"," ","S","15","     4.1"," ","S","15","     2.2"," ","S","15","     1.1"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    2.60"," ","S","14","    7.09"," ","S","14","    9.00"," ","S","14","    2.22"," ","S","14","    3.62"," ","S","14","    7.86"," ","S","14","    9.99"," ","S","14","    3.34"," ","S","14","    8.33"," ","S","14"
"RQC00666390","05"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","05","99","99","    9.55"," ","S","15","    14.2"," ","S","15","    10.7"," ","S","15","     7.9"," ","S","15","     5.4"," ","S","15","     3.6"," ","S","15","     1.1"," ","S","15","     0.3"," ","S","15","     0.1"," ","S","15","    6.87"," ","S","15","    9.09"," ","S","15","   12.41"," ","S","15","    6.02"," ","S","15","    8.74"," ","S","15","   10.49"," ","S","15","   13.02"," ","S","15","    7.93"," ","S","15","   11.89"," ","S","15"
"RQC00666390","06"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","06","99","99","    5.46"," ","S","14","    10.1"," ","S","14","     8.4"," ","S","14","     5.4"," ","S","14","     3.7"," ","S","14","     1.8"," ","S","14","     0.6"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    3.24"," ","S","14","    4.73"," ","S","14","    7.38"," ","S","14","    2.82"," ","S","14","    4.62"," ","S","14","    5.63"," ","S","14","    8.46"," ","S","14","    4.20"," ","S","14","    6.15"," ","S","14"
"RQC00666390","07"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","07","99","99","    5.87"," ","S","14","    12.1"," ","S","14","     9.1"," ","S","14","     6.0"," ","S","14","     3.9"," ","S","14","     1.4"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    3.66"," ","S","14","    5.88"," ","S","14","    7.50"," ","S","14","    3.30"," ","S","14","    5.21"," ","S","14","    6.66"," ","S","14","    8.46"," ","S","14","    4.58"," ","S","14","    6.68"," ","S","14"
"RQC00666390","08"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","08","99","99","    7.92"," ","S","15","    15.7"," ","S","15","    13.0"," ","S","15","     8.3"," ","S","15","     5.5"," ","S","15","     2.4"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    5.81"," ","S","15","    7.89"," ","S","15","    9.75"," ","S","15","    5.11"," ","S","15","    7.38"," ","S","15","    8.33"," ","S","15","   10.31"," ","S","15","    6.60"," ","S","15","    9.01"," ","S","15"
"RQC00666390","09"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","09","99","99","    9.48"," ","S","15","    15.8"," ","S","15","    12.4"," ","S","15","     8.4"," ","S","15","     5.1"," ","S","15","     2.4"," ","S","15","     0.5"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","    6.53"," ","S","15","    7.36"," ","S","15","    9.03"," ","S","15","    5.77"," ","S","15","    7.33"," ","S","15","    8.24"," ","S","15","   10.04"," ","S","15","    7.18"," ","S","15","    8.50"," ","S","15"
"RQC00666390","10"," 18.3344"," -66.4078"," 182.9","MOROVIS 1 N, PR RQ","10","99","99","    8.06"," ","S","14","    15.2"," ","S","14","    12.4"," ","S","14","     8.5"," ","S","14","     5.6"," ","S","14","     2.4"," ","S","14","     0.8"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    4.66"," ","S","14","    7.59"," ","S","14","   10.63"," ","S","14","    3.91"," ","S","14","    6.55"," ","S","14","    8.61"," ","S","14","   11.58"," ","S","14","    6.08"," ","S","14","    9.46"," ","S","14"
