"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQC00663023","01"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","01","99","99","    2.64"," ","E"," 9"
"RQC00663023","02"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","02","99","99","    2.05"," ","E","13"
"RQC00663023","03"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","03","99","99","    4.71"," ","E"," 7"
"RQC00663023","04"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","04","99","99","    5.92"," ","E"," 6"
"RQC00663023","05"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","05","99","99","    6.12"," ","E"," 8"
"RQC00663023","06"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","06","99","99","    4.16"," ","E","11"
"RQC00663023","07"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","07","99","99","    6.00"," ","E"," 9"
"RQC00663023","08"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","08","99","99","    8.97"," ","E"," 6"
"RQC00663023","09"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","09","99","99","    9.30"," ","E"," 8"
"RQC00663023","10"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","10","99","99","    9.39"," ","E","11"
"RQC00663023","11"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","11","99","99","    7.20"," ","E"," 8"
"RQC00663023","12"," 18.0836"," -66.6547"," 175.0","CORRAL VIEJO, PR RQ","12","99","99","    3.51"," ","E"," 8"
