"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQC00665097","01"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","01","99","99","    3.11"," ","E"," 6"
"RQC00665097","02"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","02","99","99","    2.63"," ","E","12"
"RQC00665097","03"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","03","99","99","    4.04"," ","E"," 9"
"RQC00665097","04"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","04","99","99","    3.36"," ","E"," 9"
"RQC00665097","05"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","05","99","99","    5.73"," ","E","11"
"RQC00665097","06"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","06","99","99","    2.89"," ","E"," 6"
"RQC00665097","07"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","07","99","99","    5.52"," ","E"," 7"
"RQC00665097","08"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","08","99","99","    6.48"," ","E","11"
"RQC00665097","09"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","09","99","99","    7.28"," ","E"," 9"
"RQC00665097","10"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","10","99","99","    7.82"," ","E","10"
"RQC00665097","11"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","11","99","99","    6.91"," ","E","11"
"RQC00665097","12"," 18.0331"," -67.0722","  27.4","LAJAS SUBSTN, PR RQ","12","99","99","    1.95"," ","E"," 4"
