"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"FMC00914831","01","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","01","99","99","    8.75"," ","S","13","    21.0"," ","S","13","    13.2"," ","S","13","     8.0"," ","S","13","     4.4"," ","S","13","     2.3"," ","S","13","     0.8"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    4.50"," ","S","13","    7.39"," ","S","13","   12.89"," ","S","13","    3.78"," ","S","13","    5.82"," ","S","13","    7.96"," ","S","13","   14.54"," ","S","13","    5.37"," ","S","13","    9.56"," ","S","13"
"FMC00914831","02","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","02","99","99","    6.79"," ","S","13","    19.6"," ","S","13","    11.2"," ","S","13","     5.5"," ","S","13","     3.4"," ","S","13","     2.2"," ","S","13","     0.8"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    2.81"," ","S","13","    5.63"," ","S","13","    7.62"," ","S","13","    2.72"," ","S","13","    4.19"," ","S","13","    6.14"," ","S","13","    8.13"," ","S","13","    2.90"," ","S","13","    6.61"," ","S","13"
"FMC00914831","03","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","03","99","99","    6.07"," ","S","14","    17.4"," ","S","14","    10.4"," ","S","14","     6.1"," ","S","14","     2.9"," ","S","14","     1.4"," ","S","14","     0.5"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","    4.20"," ","S","14","    5.08"," ","S","14","    8.06"," ","S","14","    3.91"," ","S","14","    4.63"," ","S","14","    5.96"," ","S","14","    8.41"," ","S","14","    4.37"," ","S","14","    6.79"," ","S","14"
"FMC00914831","04","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","04","99","99","    6.21"," ","S","14","    18.9"," ","S","14","    11.5"," ","S","14","     6.6"," ","S","14","     4.1"," ","S","14","     1.8"," ","S","14","     0.3"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    3.42"," ","S","14","    4.54"," ","S","14","    8.18"," ","S","14","    3.04"," ","S","14","    4.34"," ","S","14","    5.83"," ","S","14","    9.20"," ","S","14","    4.02"," ","S","14","    7.28"," ","S","14"
"FMC00914831","05","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","05","99","99","    9.06"," ","S","13","    22.2"," ","S","13","    14.5"," ","S","13","     8.5"," ","S","13","     5.2"," ","S","13","     2.5"," ","S","13","     0.6"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","    6.08"," ","S","13","    8.09"," ","S","13","   10.62"," ","S","13","    5.63"," ","S","13","    7.42"," ","S","13","    9.03"," ","S","13","   11.96"," ","S","13","    6.57"," ","S","13","   10.07"," ","S","13"
"FMC00914831","06","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","06","99","99","   12.16"," ","R","11","    25.5"," ","S","12","    16.4"," ","S","12","    11.5"," ","S","12","     7.6"," ","S","12","     3.7"," ","S","12","     1.3"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","    9.70"," ","R","11","   11.35"," ","R","11","   14.44"," ","R","11","    9.15"," ","R","11","   10.81"," ","R","11","   11.77"," ","R","11","   14.91"," ","R","11","   10.44"," ","R","11","   12.73"," ","R","11"
"FMC00914831","07","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","07","99","99","   12.76"," ","R","11","    22.4"," ","P","11","    17.2"," ","P","11","    12.2"," ","P","11","     8.8"," ","P","11","     3.9"," ","P","11","     1.0"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","    9.80"," ","R","11","   12.39"," ","R","11","   15.31"," ","R","11","    9.36"," ","R","11","   11.77"," ","R","11","   13.28"," ","R","11","   15.73"," ","R","11","   10.63"," ","R","11","   14.69"," ","R","11"
"FMC00914831","08","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","08","99","99","   13.70"," ","S","13","    24.6"," ","S","14","    18.5"," ","S","14","    13.4"," ","S","14","     9.2"," ","S","14","     5.1"," ","S","14","     1.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","   11.55"," ","S","13","   13.31"," ","S","13","   15.83"," ","S","13","   11.23"," ","S","13","   13.08"," ","S","13","   14.67"," ","S","13","   16.45"," ","S","13","   12.49"," ","S","13","   15.07"," ","S","13"
"FMC00914831","09","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","09","99","99","   16.39"," ","S","13","    24.4"," ","S","13","    19.7"," ","S","13","    13.8"," ","S","13","     9.9"," ","S","13","     5.4"," ","S","13","     1.7"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","   13.30"," ","S","13","   15.66"," ","S","13","   20.16"," ","S","13","   12.77"," ","S","13","   14.66"," ","S","13","   17.89"," ","S","13","   20.63"," ","S","13","   14.14"," ","S","13","   19.09"," ","S","13"
"FMC00914831","10","  9.5500"," 138.1500","  21.3","TAMIL, FM FM","10","99","99","   12.46"," ","S","14","    24.4"," ","S","14","    17.9"," ","S","14","    11.9"," ","S","14","     7.4"," ","S","14","     3.9"," ","S","14","     1.3"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    9.71"," ","S","14","   12.61"," ","S","14","   15.74"," ","S","14","    9.39"," ","S","14","   10.46"," ","S","14","   13.78"," ","S","14","   16.67"," ","S","14","   10.17"," ","S","14","   14.24"," ","S","14"
