"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQC00661345","01"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","01","99","99","    2.85"," ","E"," 9"
"RQC00661345","02"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","02","99","99","    3.18"," ","E","11"
"RQC00661345","03"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","03","99","99","    4.37"," ","E"," 9"
"RQC00661345","04"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","04","99","99","    4.08"," ","E"," 9"
"RQC00661345","05"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","05","99","99","    7.61"," ","E"," 7"
"RQC00661345","06"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","06","99","99","    4.86"," ","E","10"
"RQC00661345","07"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","07","99","99","    4.84"," ","E","10"
"RQC00661345","08"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","08","99","99","    7.24"," ","E"," 9"
"RQC00661345","09"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","09","99","99","    8.07"," ","E","10"
"RQC00661345","10"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","10","99","99","    6.84"," ","E","10"
"RQC00661345","11"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","11","99","99","    6.40"," ","E"," 8"
"RQC00661345","12"," 18.4725"," -67.1156","  85.0","CALERO CAMP, PR RQ","12","99","99","    3.82"," ","E","11"
